module,subbase_thickness_in,pavement_thickness_in,fe3_psi,axle_load_kip,wheel_load_kip,tire_pressure_psi,subbase_material,k_eff_pci,radius_relative_stiffness_in,contact_radius_in,equivalent_resisting_radius_b_in,edge_stress_psi,Mu_kip_in_per_ft,concrete_MR_psi,Re3_decimal,Re3_percent,tufstrand_dosage_lb_per_cy,Mcr_kip_in_per_ft,Mn_FRC_kip_in_per_ft,Mtotal_FRC_kip_in_per_ft,phi_FRC,phi_Mtotal_FRC_kip_in_per_ft,demand_capacity_ratio,cracking_ratio,parking_lot_area_sf,roadway_area_sf,total_area_sf,concrete_volume_cy_total,subbase_volume_cy_total,fe3_psi_for_lcc_lca_mapping,fiber_quantity_note,feasible,warnings
FRC,4,10,400,19.0,9.5,100.0,#57 stone,110.00000000000001,41.4903982835187,5.499039842323396,5.431260308356283,211.44715282288252,42.2894305645765,650.0,0.6153846153846154,61.53846153846154,10.9,130.0,80.0,210.0,1.0,210.0,0.20137824078369762,0.32530331203520385,45000.0,41000.0,86000.0,2654.320987654321,1061.7283950617284,400,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,12,100,19.0,9.5,100.0,#57 stone,110.00000000000001,47.57004238281165,5.499039842323396,5.77022359949313,151.83364242524524,43.728089018470634,650.0,0.15384615384615385,15.384615384615385,3.0,187.2,28.8,216.0,1.0,216.0,0.20244485656699368,0.23359021911576194,45000.0,41000.0,86000.0,3185.185185185185,1061.7283950617284,100,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,12,150,19.0,9.5,100.0,#57 stone,110.00000000000001,47.57004238281165,5.499039842323396,5.77022359949313,151.83364242524524,43.728089018470634,650.0,0.23076923076923078,23.076923076923077,3.4,187.2,43.2,230.39999999999998,1.0,230.39999999999998,0.18979205303155658,0.23359021911576194,45000.0,41000.0,86000.0,3185.185185185185,1061.7283950617284,150,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,12,200,19.0,9.5,100.0,#57 stone,110.00000000000001,47.57004238281165,5.499039842323396,5.77022359949313,151.83364242524524,43.728089018470634,650.0,0.3076923076923077,30.76923076923077,4.9,187.2,57.6,244.79999999999998,1.0,244.79999999999998,0.17862781461793562,0.23359021911576194,45000.0,41000.0,86000.0,3185.185185185185,1061.7283950617284,200,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,12,250,19.0,9.5,100.0,#57 stone,110.00000000000001,47.57004238281165,5.499039842323396,5.77022359949313,151.83364242524524,43.728089018470634,650.0,0.38461538461538464,38.46153846153847,6.4,187.2,72.0,259.2,1.0,259.2,0.1687040471391614,0.23359021911576194,45000.0,41000.0,86000.0,3185.185185185185,1061.7283950617284,250,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,12,300,19.0,9.5,100.0,#57 stone,110.00000000000001,47.57004238281165,5.499039842323396,5.77022359949313,151.83364242524524,43.728089018470634,650.0,0.46153846153846156,46.15384615384615,7.9,187.2,86.4,273.6,1.0,273.6,0.15982488676341605,0.23359021911576194,45000.0,41000.0,86000.0,3185.185185185185,1061.7283950617284,300,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,12,350,19.0,9.5,100.0,#57 stone,110.00000000000001,47.57004238281165,5.499039842323396,5.77022359949313,151.83364242524524,43.728089018470634,650.0,0.5384615384615384,53.84615384615385,9.4,187.2,100.8,288.0,1.0,288.0,0.15183364242524525,0.23359021911576194,45000.0,41000.0,86000.0,3185.185185185185,1061.7283950617284,350,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,4,12,400,19.0,9.5,100.0,#57 stone,110.00000000000001,47.57004238281165,5.499039842323396,5.77022359949313,151.83364242524524,43.728089018470634,650.0,0.6153846153846154,61.53846153846154,10.9,187.2,115.2,302.4,1.0,302.4,0.14460346897642407,0.23359021911576194,45000.0,41000.0,86000.0,3185.185185185185,1061.7283950617284,400,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,6,100,19.0,9.5,100.0,#57 stone,120.0,27.67667419824502,5.499039842323396,5.136027579968186,495.84438172525734,35.70079548421853,650.0,0.15384615384615385,15.384615384615385,3.0,46.8,7.2,54.0,1.0,54.0,0.6611258423003432,0.7628375103465499,45000.0,41000.0,86000.0,1592.5925925925926,1592.5925925925926,100,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,6,150,19.0,9.5,100.0,#57 stone,120.0,27.67667419824502,5.499039842323396,5.136027579968186,495.84438172525734,35.70079548421853,650.0,0.23076923076923078,23.076923076923077,3.4,46.8,10.8,57.599999999999994,1.0,57.599999999999994,0.6198054771565717,0.7628375103465499,45000.0,41000.0,86000.0,1592.5925925925926,1592.5925925925926,150,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,6,200,19.0,9.5,100.0,#57 stone,120.0,27.67667419824502,5.499039842323396,5.136027579968186,495.84438172525734,35.70079548421853,650.0,0.3076923076923077,30.76923076923077,4.9,46.8,14.4,61.199999999999996,1.0,61.199999999999996,0.5833463314414793,0.7628375103465499,45000.0,41000.0,86000.0,1592.5925925925926,1592.5925925925926,200,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,6,250,19.0,9.5,100.0,#57 stone,120.0,27.67667419824502,5.499039842323396,5.136027579968186,495.84438172525734,35.70079548421853,650.0,0.38461538461538464,38.46153846153847,6.4,46.8,18.0,64.8,1.0,64.8,0.5509382019169526,0.7628375103465499,45000.0,41000.0,86000.0,1592.5925925925926,1592.5925925925926,250,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,6,300,19.0,9.5,100.0,#57 stone,120.0,27.67667419824502,5.499039842323396,5.136027579968186,495.84438172525734,35.70079548421853,650.0,0.46153846153846156,46.15384615384615,7.9,46.8,21.6,68.4,1.0,68.4,0.5219414544476393,0.7628375103465499,45000.0,41000.0,86000.0,1592.5925925925926,1592.5925925925926,300,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,6,350,19.0,9.5,100.0,#57 stone,120.0,27.67667419824502,5.499039842323396,5.136027579968186,495.84438172525734,35.70079548421853,650.0,0.5384615384615384,53.84615384615385,9.4,46.8,25.2,72.0,1.0,72.0,0.49584438172525735,0.7628375103465499,45000.0,41000.0,86000.0,1592.5925925925926,1592.5925925925926,350,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,6,400,19.0,9.5,100.0,#57 stone,120.0,27.67667419824502,5.499039842323396,5.136027579968186,495.84438172525734,35.70079548421853,650.0,0.6153846153846154,61.53846153846154,10.9,46.8,28.8,75.6,1.0,75.6,0.47223274450024516,0.7628375103465499,45000.0,41000.0,86000.0,1592.5925925925926,1592.5925925925926,400,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,8,100,19.0,9.5,100.0,#57 stone,120.0,34.3413966568967,5.499039842323396,5.201089693986001,308.87997496461526,39.536636795470756,650.0,0.15384615384615385,15.384615384615385,3.0,83.2,12.8,96.0,1.0,96.0,0.411839966619487,0.4751999614840235,45000.0,41000.0,86000.0,2123.456790123457,1592.5925925925926,100,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
FRC,6,8,150,19.0,9.5,100.0,#57 stone,120.0,34.3413966568967,5.499039842323396,5.201089693986001,308.87997496461526,39.536636795470756,650.0,0.23076923076923078,23.076923076923077,3.4,83.2,19.2,102.4,1.0,102.4,0.38609996870576907,0.4751999614840235,45000.0,41000.0,86000.0,2123.456790123457,1592.5925925925926,150,Fiber dosage is calculated in Module 2; total fiber mass is calculated in Module 4 LCA.,True,Wheel-load demand is below plain concrete cracking moment; fiber residual capacity provides additional reserve.
