module,subbase_thickness_in,pavement_thickness_in,bar_size,bar_spacing_in,axle_load_kip,wheel_load_kip,tire_pressure_psi,subbase_material,k_eff_pci,radius_relative_stiffness_in,contact_radius_in,equivalent_resisting_radius_b_in,edge_stress_psi,Mu_kip_in_per_ft,As_per_ft_in2,effective_depth_in,a_in,Mn_kip_in_per_ft,phi_Mn_kip_in_per_ft,Mcr_kip_in_per_ft,demand_capacity_ratio,cracking_ratio,epsilon_t,reinforcement_directions,parking_lot_area_sf,roadway_area_sf,total_area_sf,concrete_volume_cy_total,subbase_volume_cy_total,class_a_lap_length_in,rebar_stock_length_ft,parking_lot_reinforcement_directions,roadway_reinforcement_directions,parking_lot_rebar_length_ft,roadway_rebar_length_ft,total_rebar_length_ft_with_laps,parking_lot_longitudinal_bar_count,parking_lot_transverse_bar_count,roadway_longitudinal_bar_count,roadway_transverse_bar_count,roadway_longitudinal_splices_per_bar,roadway_transverse_splices_per_bar,parking_lot_longitudinal_splices_per_bar,parking_lot_transverse_splices_per_bar,steel_weight_lb_total,steel_weight_ton_total,feasible,warnings
SRC,8,12,#5,15,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.24799999999999997,8.6875,0.32418300653594767,126.85807843137255,114.17227058823529,187.2,0.37609489718183964,0.22937824982852312,0.06332538432459678,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,33.54101966249685,40.0,2.0,1.0,76838.28340584334,37273.3386706154,114111.62207645873,121.0,241.0,17.0,0.0,51.0,0.0,7.0,3.0,120371.91245426444,60.18595622713222,True,
SRC,8,12,#5,18,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.20666666666666667,8.6875,0.2701525054466231,106.05005446623093,95.44504901960784,187.2,0.4498882740274793,0.22937824982852312,0.07659046118951612,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,33.54101966249685,40.0,2.0,1.0,64111.56131315591,32888.24000348417,96999.80131664008,101.0,201.0,15.0,0.0,51.0,0.0,7.0,3.0,102321.31819442795,51.16065909721397,True,
SRC,8,12,#5,24,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.155,8.6875,0.20261437908496732,79.85159313725491,71.86643382352943,187.2,0.5974918481879767,0.22937824982852312,0.10312061491935483,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,33.54101966249685,40.0,2.0,1.0,48203.15869729662,24118.042669221726,72321.20136651835,76.0,151.0,11.0,0.0,51.0,0.0,7.0,3.0,76288.82283037595,38.144411415187975,True,
SRC,8,12,#6,6,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.88,8.625,1.1503267973856208,425.03137254901964,382.52823529411774,187.2,0.11225212783282307,0.22937824982852312,0.015557226562500004,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,40.249223594996224,40.0,2.0,1.0,193564.53868803626,91063.42721142809,284627.9658994643,301.0,601.0,41.0,0.0,51.0,0.0,7.0,3.0,426151.31561058684,213.07565780529342,True,
SRC,8,12,#6,8,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.66,8.625,0.8627450980392157,324.4676470588235,292.02088235294116,187.2,0.1470429375526714,0.22937824982852312,0.021742968749999998,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,40.249223594996224,40.0,2.0,1.0,145294.28927094283,68852.83520864075,214147.12447958358,226.0,451.0,31.0,0.0,51.0,0.0,7.0,3.0,320625.833595821,160.3129167979105,True,
SRC,8,12,#6,10,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.528,8.625,0.6901960784313725,262.3072941176471,236.07656470588233,187.2,0.18188848360020884,0.22937824982852312,0.0279287109375,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,40.249223594996224,40.0,2.0,1.0,116332.13962068676,55526.48000696835,171858.6196276551,181.0,361.0,25.0,0.0,51.0,0.0,7.0,3.0,257310.54438696138,128.6552721934807,True,
SRC,8,12,#6,12,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.44,8.625,0.5751633986928104,220.1078431372549,198.0970588235294,187.2,0.21676045380437156,0.22937824982852312,0.034114453125000006,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,40.249223594996224,40.0,2.0,1.0,97024.03985384939,46642.24320585341,143666.2830597028,151.0,301.0,21.0,0.0,51.0,0.0,7.0,3.0,215100.35158105503,107.55017579052752,True,
SRC,8,12,#6,15,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.35200000000000004,8.625,0.46013071895424845,177.3010196078432,159.57091764705888,187.2,0.2690941996264879,0.22937824982852312,0.043393066406249986,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,40.249223594996224,40.0,2.0,1.0,77715.94008701202,37758.00640473847,115473.94649175048,121.0,241.0,17.0,0.0,51.0,0.0,7.0,3.0,172890.15877514865,86.44507938757432,True,
SRC,8,12,#6,18,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.29333333333333333,8.625,0.38344226579520696,148.42570806100215,133.58313725490197,187.2,0.3214448264226839,0.22937824982852312,0.0526716796875,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,40.249223594996224,40.0,2.0,1.0,64843.87357578709,33315.88800418101,98159.7615799681,101.0,201.0,15.0,0.0,51.0,0.0,7.0,3.0,146966.97636556334,73.48348818278167,True,
SRC,8,12,#6,24,19.0,9.5,100.0,#57 stone,130.0,45.62426399858746,5.499039842323396,5.77022359949313,149.09586238854,42.939608367899524,0.22,8.625,0.2875816993464052,111.95196078431374,100.75676470588236,187.2,0.42617097217486016,0.22937824982852312,0.07122890625000002,2.0,45000.0,41000.0,86000.0,3185.185185185185,2123.456790123457,40.249223594996224,40.0,2.0,1.0,48753.79043675594,24431.651203066074,73185.441639822,76.0,151.0,11.0,0.0,51.0,0.0,7.0,3.0,109574.86956628907,54.78743478314453,True,
