alternative_id,module,subbase_thickness_in,pavement_thickness_in,bar_size,bar_spacing_in,fe3_psi,n_simulations,random_seed,total_present_worth_mean,total_present_worth_std,total_present_worth_p05,total_present_worth_p50,total_present_worth_p95,total_present_worth_min,total_present_worth_max,gwp_total_project_kgco2e_mean,gwp_total_project_kgco2e_std,gwp_total_project_kgco2e_p05,gwp_total_project_kgco2e_p50,gwp_total_project_kgco2e_p95,gwp_total_project_kgco2e_min,gwp_total_project_kgco2e_max,demand_capacity_ratio_k_mean,demand_capacity_ratio_k_std,demand_capacity_ratio_k_p05,demand_capacity_ratio_k_p50,demand_capacity_ratio_k_p95,demand_capacity_ratio_k_min,demand_capacity_ratio_k_max
23,SRC,4,8,#5,12.0,nan,50000,42,738340.0794956195,59380.33136949418,641531.6040295843,738451.0067920808,835243.2476760357,577720.2787402775,941435.4172233155,841526.6968776442,68472.1681154973,737862.8770632554,836497.6844650452,962520.108680144,696628.489920925,1054691.3699796745,0.5259377830696343,0.01242145565628486,0.5081804604222282,0.5248186398004384,0.5470773838652665,0.5065944007974373,0.5501705403064433
24,SRC,4,8,#5,15.0,nan,50000,42,690592.7701798442,56946.5005444518,598797.5428571202,690810.9105713731,782644.1749111055,539057.2273609174,887965.1912006764,829614.5741348546,68333.73052067518,726307.2899486761,824550.2371809972,950510.3522765636,686792.0566189943,1039517.6729948247,0.6515353261722928,0.015387784302769348,0.6295374333122309,0.6501489238288953,0.6777232083570394,0.62757261179107,0.6815550317317391
25,SRC,4,8,#5,18.0,nan,50000,42,661266.3102557105,55669.89608782405,572045.1125693854,661494.8941796746,750604.7589763709,515310.3305604539,855123.7083389561,822298.1327429967,68262.23769405637,719191.3883562743,817302.3604108508,943140.9149071136,680370.9339360836,1030197.9684312815,0.7772027380566151,0.018355763091154897,0.750961915992893,0.7755489279652009,0.8084417099439305,0.7486181218735318,0.8130126111659134
26,SRC,4,8,#6,6.0,nan,50000,42,1187386.7971910432,95718.30698847653,1030312.5807089991,1187232.3296755394,1344196.7162961457,941332.732861437,1465918.7850732137,953556.0383230154,71068.96222176704,845251.3924329313,948682.8701275133,1078000.9110100607,785072.7216372294,1197394.67460548,0.20517633297491028,0.0048457988830773015,0.1982489311765787,0.20473973815430824,0.21342321295087713,0.19763018518005646,0.21462990035069515
27,SRC,4,8,#6,8.0,nan,50000,42,1015941.5375650616,79848.9228057625,883613.6960569534,1016043.0624800752,1147994.2770696837,802506.1272022775,1262339.6491641514,910783.4296545854,69807.89238384379,805193.0185048176,905830.7190943323,1033388.7627986531,751474.6804402085,1142910.7998838942,0.26418834536181063,0.006239528557286624,0.25526851142081974,0.26362617885080997,0.2748071606201696,0.2544718041269017,0.27636091071846114
28,SRC,4,8,#6,10.0,nan,50000,42,913074.3817894727,71275.93401866443,794518.6687166269,912896.9816074602,1031474.0139504148,719210.1638067816,1142682.470906504,885119.8644535273,69208.76716327578,780418.7693523108,880234.4097920049,1007051.0025740925,731315.8557219959,1110220.4750509425,0.32357852688270095,0.007642189727348967,0.31265349261326203,0.3228899839750142,0.3365844775949992,0.3116776835851626,0.33848751448809344
29,SRC,4,8,#6,12.0,nan,50000,42,844496.2779390799,66130.4547606446,734746.8756317949,844389.4256326588,953940.303031836,663679.5215431178,1063108.8456641133,868010.820986155,68876.97913379139,763797.2032062337,863144.1332574852,989504.5902038998,717876.6392431876,1088426.9251623082,0.3831452561901037,0.009049020555062789,0.3702090607806745,0.3823299612096085,0.39854543853738844,0.36905361760690886,0.40079880054187067
30,SRC,4,8,#6,15.0,nan,50000,42,775918.1740886873,61575.808450752025,674611.8909509187,775966.6597675413,877037.9260877749,608148.8792794539,983535.2204217227,850901.777518783,68600.22865682938,746963.2050472307,845951.0287053096,972058.9137046358,704369.9611446495,1066633.3752736738,0.4726638112785024,0.011163245465764852,0.4567051863787322,0.4716580297202782,0.4916621122232488,0.4552797839617521,0.49444195265196667
31,SRC,4,8,#6,18.0,nan,50000,42,733801.2687338163,59131.1828645533,637500.4496958533,733913.462942418,830261.2907090525,574045.0083177236,936352.5918079066,840394.3425800792,68457.83743156391,736729.1631499983,835338.7660184326,961317.3334676059,695693.4485548597,1053248.9737450362,0.5622907883168299,0.013280031056620654,0.5433060732588432,0.5610942894697557,0.5848915657827557,0.5416103846328312,0.5881985222891801
32,SRC,4,8,#6,24.0,nan,50000,42,673051.0183130982,56161.855503244966,582833.5830562472,673272.9885578102,763468.9978639506,524852.9158839581,868320.9127986248,825238.212317725,68289.72571219044,722021.0546833327,820220.6355260205,946081.5340910217,683024.9615638084,1033943.0504407224,0.7417021568325474,0.01751732000978245,0.7166599466488975,0.7401238884455102,0.7715142144740185,0.7144232108933746,0.7758763289249925
