alternative_id,output,parameter,spearman_rho,abs_spearman_rho
13,gwp_total_project_kgco2e,stone_57_gwp_factor,0.011135396932742158,0.011135396932742158
13,gwp_total_project_kgco2e,rebar_gwp_factor,0.07335764476585507,0.07335764476585507
13,gwp_total_project_kgco2e,trucking_gwp_factor,0.033519259288863706,0.033519259288863706
13,gwp_total_project_kgco2e,demolition_gwp_factor,0.02222111876722445,0.02222111876722445
13,gwp_total_project_kgco2e,crushing_gwp_factor,0.025740235651416095,0.025740235651416095
13,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
14,total_present_worth,concrete_unit_cost,0.913257339028247,0.913257339028247
14,total_present_worth,stone_57_unit_cost,0.15594244705956098,0.15594244705956098
14,total_present_worth,rebar_unit_cost,0.25993713782314287,0.25993713782314287
14,total_present_worth,fiber_unit_cost,0.0010617286585366914,0.0010617286585366914
14,total_present_worth,demolition_cost,0.05338586494324235,0.05338586494324235
14,total_present_worth,crushing_cost,0.043430260898300106,0.043430260898300106
14,total_present_worth,recycled_aggregate_credit,-0.0357867306743147,0.0357867306743147
14,total_present_worth,discount_rate,-0.2240904528562212,0.2240904528562212
14,gwp_total_project_kgco2e,concrete_gwp_factor,0.9977242716448498,0.9977242716448498
14,gwp_total_project_kgco2e,stone_57_gwp_factor,0.011128791072707518,0.011128791072707518
14,gwp_total_project_kgco2e,rebar_gwp_factor,0.05707329388020532,0.05707329388020532
14,gwp_total_project_kgco2e,trucking_gwp_factor,0.03268111619569645,0.03268111619569645
14,gwp_total_project_kgco2e,demolition_gwp_factor,0.022225601928922242,0.022225601928922242
14,gwp_total_project_kgco2e,crushing_gwp_factor,0.02585294243142918,0.02585294243142918
14,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
15,total_present_worth,concrete_unit_cost,0.783069815403724,0.783069815403724
15,total_present_worth,stone_57_unit_cost,0.13548886258209958,0.13548886258209958
15,total_present_worth,rebar_unit_cost,0.5508842562590737,0.5508842562590737
